t # 0
v 1140 60
v 1141 60
v 1142 60
v 1143 60
v 1144 6
v 1145 14
v 1146 60
v 1147 6
v 1148 6
v 1149 6
v 1150 45
v 1151 6
v 1152 44
v 1153 6
v 1154 6
v 1155 49
v 1156 60
v 1157 45
v 1158 6
v 1159 6
v 1160 6
v 1161 6
v 1162 3
v 1163 70
v 1164 6
v 1165 49
v 1166 45
v 1167 45
v 1168 67
v 1169 6
v 1170 6
v 1171 6
v 1172 6
v 1173 6
v 1174 6
v 1175 6
v 1176 35
v 1177 73
v 1178 6
v 1179 6
v 1180 6
v 1181 45
v 1182 42
v 1183 45
v 1184 6
v 1185 6
v 1186 45
v 1187 60
v 1188 38
v 1189 6
v 1190 60
v 1191 51
v 1192 6
v 1193 6
v 1194 60
v 1195 46
v 1196 70
v 1197 6
v 1198 9
v 1199 53
v 1200 2
v 1201 7
v 1202 53
v 1203 48
v 1204 6
v 1205 38
v 1206 7
v 1207 6
v 1208 60
v 1209 22
v 1210 48
v 1211 38
v 1212 70
v 1213 6
v 1214 6
v 1215 6
v 1216 6
v 1217 6
v 1218 6
v 1219 60
v 1220 60
v 1221 6
v 1222 14
v 1223 13
v 1224 13
v 1225 60
v 1226 60
v 1227 6
v 1228 60
v 1229 58
v 1230 60
v 1231 60
v 1232 12
v 1233 60
v 1234 14
v 1235 60
v 1236 28
v 1237 27
v 1238 60
v 1239 14
v 1240 60
v 1241 60
v 1242 60
v 1243 28
v 1244 45
v 1245 6
v 1246 6
v 1247 12
v 1248 3
v 1249 3
v 1250 3
v 1251 3
v 1252 3
v 1253 73
v 1254 3
v 1255 6
v 1256 6
v 1257 51
v 1258 6
v 1259 44
v 1260 70
v 1261 67
v 1262 67
v 1263 70
v 1264 51
v 1265 51
v 1266 67
v 1267 6
v 1268 6
v 1269 6
v 1270 6
v 1271 6
v 1272 6
v 1273 6
v 1274 6
v 1275 6
v 1276 3
v 1277 35
v 1278 35
v 1279 35
v 1280 3
v 1281 35
v 1282 35
v 1283 3
v 1284 3
v 1285 35
v 1286 3
v 1287 6
v 1288 6
v 1289 6
v 1290 6
v 1291 6
v 1292 45
v 1293 6
v 1294 3
v 1295 3
v 1296 3
v 1297 3
v 1298 3
v 1299 3
v 1300 3
v 1301 14
v 1302 60
v 1303 6
v 1304 53
v 1305 60
v 1306 60
v 1307 6
v 1308 46
v 1309 60
v 1310 60
v 1311 14
v 1312 36
v 1313 6
v 1314 6
v 1315 6
v 1316 36
v 1317 46
v 1318 6
v 1319 45
v 1320 6
v 1321 22
v 1322 60
v 1323 6
v 1324 6
v 1325 12
v 1326 6
v 1327 60
v 1328 6
v 1329 60
v 1330 60
v 1331 36
v 1332 14
v 1333 35
v 1334 14
v 1335 60
v 1336 35
v 1337 6
v 1338 60
v 1339 60
v 1340 35
v 1341 6
v 1342 6
v 1343 6
v 1344 6
v 1345 6
v 1346 6
v 1347 6
v 1348 6
v 1349 6
v 1350 51
v 1351 13
v 1352 6
v 1353 13
v 1354 14
v 1355 13
v 1356 14
v 1357 6
v 1358 60
v 1359 6
v 1360 6
v 1361 6
v 1362 6
v 1363 6
v 1364 60
v 1365 60
v 1366 60
v 1367 60
v 1368 60
v 1369 60
v 1370 14
v 1371 14
v 1372 6
v 1373 6
v 1374 14
v 1375 42
v 1376 6
v 1377 6
v 1378 49
v 1379 6
v 1380 6
v 1381 6
v 1382 6
v 1383 6
v 1384 12
v 1385 6
v 1386 51
v 1387 6
v 1388 42
v 1389 42
v 1390 42
v 1391 6
v 1392 6
v 1393 22
v 1394 12
v 1395 6
v 1396 6
v 1397 7
v 1398 70
v 1399 67
v 1400 38
v 1401 39
v 1402 73
v 1403 48
v 1404 53
v 1405 67
v 1406 70
v 1407 6
v 1408 70
v 1409 35
v 1410 35
v 1411 73
v 1412 35
v 1413 70
v 1414 6
v 1415 13
v 1416 6
v 1417 6
v 1418 6
v 1419 6
v 1420 6
v 1421 6
v 1422 6
v 1423 74
v 1424 6
v 1425 6
v 1426 6
v 1427 60
v 1428 60
v 1429 14
v 1430 60
v 1431 60
