t # 0
v 2538 60
v 2539 60
v 412922 42
v 2532 60
v 2533 60
v 2530 60
v 2531 60
v 2536 60
v 2537 60
v 2534 60
v 2535 60
v 346480 6
v 371480 6
v 391468 6
v 5073 6
v 406803 6
v 5076 6
v 2671 60
v 5074 6
v 94118 6
v 222749 6
v 350424 6
v 9566 6
v 364131 45
v 316411 6
v 329399 6
v 11834 6
v 58783 58
v 11833 44
v 2712 60
v 62336 45
v 237079 6
v 345751 6
v 333756 6
v 1820 60
v 316589 6
v 270970 3
v 270977 3
v 408097 12
v 270974 51
v 270978 70
v 290049 73
v 9384 6
v 9385 6
v 9387 6
v 95643 6
v 2410 60
v 1170 35
v 9388 6
v 9389 6
v 321143 6
v 198437 6
v 2412 60
v 327016 27
v 2143 60
v 275097 6
v 2142 36
v 2417 60
v 272828 42
v 351179 6
v 272826 42
v 2416 60
v 272823 42
v 319013 27
v 405863 12
v 405867 6
v 270352 3
v 405865 6
v 405864 45
v 321552 6
v 4064 14
v 2717 60
v 7141 6
v 270351 3
v 203734 6
v 12877 6
v 12875 6
v 12874 6
v 12872 6
v 12870 6
v 270350 3
v 341878 6
v 273449 6
v 279392 6
v 2882 60
v 2883 60
v 2880 60
v 2881 60
v 2886 36
v 2887 60
v 2884 60
v 2885 60
v 2888 36
v 2889 14
v 313030 51
v 217889 6
v 1285 39
v 403082 6
v 336653 6
v 380647 6
v 214757 6
v 336650 6
v 327015 27
v 1287 64
v 221195 6
v 262911 12
v 368757 6
v 77240 6
v 1280 53
v 160847 6
v 3276 60
v 342836 12
v 1283 38
v 3277 14
v 1922 60
v 266639 6
v 3275 60
v 1924 60
v 356682 6
v 266636 67
v 266635 3
v 266634 3
v 3270 60
v 1289 7
v 3271 36
v 241375 45
v 4761 36
v 4760 46
v 4763 60
v 4762 60
v 4765 60
v 4764 60
v 4767 60
v 4766 60
v 4769 60
v 4768 60
v 337651 6
v 165300 6
v 109843 6
v 409969 6
v 258277 45
v 19748 6
v 1534 79
v 319038 27
v 55665 6
v 55663 6
v 266947 6
v 153695 6
v 100911 6
v 264772 6
v 56317 6
v 111784 45
v 56313 6
v 372110 6
v 327091 6
v 2250 60
v 215487 45
v 372117 12
v 262440 3
v 382234 45
v 262443 3
v 262444 3
v 262445 3
v 262446 3
v 262447 3
v 11793 45
v 262449 3
v 93396 6
v 357793 12
v 11796 6
v 3662 60
v 369401 6
v 416891 6
v 56634 6
v 250839 45
v 11991 51
v 120203 6
v 366430 12
v 337263 6
v 80646 45
v 11990 13
v 316800 51
v 316802 70
v 316803 74
v 281601 6
v 295931 42
v 68224 6
v 10354 80
v 10356 80
v 2709 60
v 2708 60
v 10352 80
v 162558 6
v 2705 60
v 2704 36
v 2707 14
v 2706 60
v 2701 60
v 1823 60
v 2703 46
v 2702 60
v 410653 6
v 386801 6
v 9170 6
v 305396 6
v 122933 22
v 405926 6
v 123519 45
v 367631 6
v 2411 60
v 337888 6
v 9718 44
v 63506 6
v 9717 6
v 3474 14
v 3475 60
v 830 35
v 831 35
v 3957 60
v 3471 60
v 3472 60
v 3473 60
v 8884 6
v 8885 45
v 8886 45
v 8887 6
v 3478 60
v 3479 60
v 8882 45
v 142123 6
v 84736 6
v 2413 60
v 438034 42
v 67083 6
v 71961 6
v 93477 12
v 5249 13
v 5248 13
v 416717 6
v 1727 79
v 5246 13
v 1723 79
v 1721 79
v 15830 6
v 295967 44
v 414623 6
v 3005 14
v 3311 60
v 364674 6
v 3006 60
v 3001 60
v 3000 60
v 3003 60
v 3310 60
v 418236 51
v 230646 6
v 3009 60
v 3008 60
v 91432 6
v 45964 6
v 20336 6
v 394316 45
v 221814 6
v 1583 79
v 1581 79
v 122202 22
v 1585 79
v 282822 6
v 9107 6
v 115724 6
v 305993 6
v 330307 6
v 1635 79
v 57015 6
v 282955 6
v 114897 22
v 228535 6
v 300626 6
v 5656 44
v 5657 44
v 272458 6
v 103743 6
v 4451 60
v 103744 6
v 267047 6
v 417991 14
v 301974 44
v 417995 14
v 267041 6
v 111910 6
v 339373 6
v 70253 6
v 417443 6
v 72680 6
v 136366 45
v 12464 6
v 15307 6
v 7776 12
v 417663 75
v 417664 75
v 7778 6
v 3917 60
v 3916 60
v 3915 60
v 3914 60
v 3913 60
v 3912 60
v 74079 45
v 3910 60
v 3919 60
v 276226 6
v 6730 13
v 6731 51
v 311119 6
v 8311 13
v 6739 13
v 5449 6
v 98628 6
v 112475 45
v 338353 6
v 9922 51
v 2754 46
v 107936 42
v 216 35
v 217 35
v 214 35
v 215 35
v 212 35
v 213 35
v 210 35
v 211 35
v 218 35
v 219 35
v 2755 60
v 350053 6
v 227923 6
v 69228 6
v 276736 3
v 276734 3
v 215819 6
v 276731 3
v 2241 60
v 215812 6
v 342002 6
v 342007 6
v 135636 22
v 383062 12
v 383063 6
v 3647 14
v 353976 6
v 3645 60
v 3644 14
v 3643 60
v 3642 60
v 3641 60
v 3640 14
v 2550 60
v 2551 60
v 2552 60
v 2553 60
v 2554 60
v 153866 45
v 2556 60
v 2557 60
v 2558 60
v 2559 60
v 45427 45
v 11476 13
v 322967 6
v 11470 51
v 307047 42
v 11478 13
v 11479 51
v 184442 6
v 398677 6
v 184444 6
v 2472 36
v 63553 6
v 17419 6
v 209695 6
v 4419 60
v 4418 60
v 4417 60
v 4416 60
v 4415 60
v 4414 60
v 332213 6
v 4412 14
v 4411 60
v 204487 6
v 362102 6
v 300361 6
v 349914 45
v 153318 6
v 146142 44
v 290546 6
v 218288 6
v 265557 49
v 2490 60
v 275707 45
v 316039 6
v 272732 6
v 279951 6
v 252693 6
v 278087 3
v 298407 70
v 44485 6
v 278082 49
v 133585 45
v 95668 45
v 298409 67
v 418676 6
v 269309 6
v 415100 6
v 269305 6
v 415106 6
v 72052 6
v 351151 6
v 509 35
v 296537 73
v 78686 6
v 399202 6
v 335485 6
v 7163 45
v 340563 42
v 171470 45
v 263486 6
v 226099 6
v 29421 45
v 3701 60
v 1212 38
v 12899 6
v 1807 60
v 408640 51
v 339749 6
v 224761 6
